date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:54:14	216201/216201	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2018:54:15%20GMT	https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html	C:/Dato'%20Ustaz%20kazim%20elias/archive/h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html	(from )
02:54:15	358/358	---MCZ	200	added ('OK')	text/plain	date:Mon,%2008%20Jul%202024%2018:54:15%20GMT	https://h5.lazada.com.my/robots.txt		(from )
02:54:17	3203/3203	---M--	200	added ('OK')	image/png	etag:%2272C4A0C07CE1D739871D15943EF20FCD%22	http://lzd-img-global.slatic.net/g/tps/tfs/TB1e_.JhHY1gK0jSZTEXXXDQVXa-64-64.png	C:/Dato'%20Ustaz%20kazim%20elias/archive/lzd-img-global.slatic.net/g/tps/tfs/TB1e_.JhHY1gK0jSZTEXXXDQVXa-64-64.png	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:17	66840/66840	---M--	200	added ('OK')	image/jpeg	etag:%22A36122FB98C41B9E5138C444D8AB42AA%22	https://img.lazcdn.com/g/p/a36122fb98c41b9e5138c444d8ab42aa.jpg_720x720q80.jpg	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/p/a36122fb98c41b9e5138c444d8ab42aa.jpg_720x720q80.jpg	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:19	59830/59830	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2018:54:18%20GMT	https://h5.lazada.com.my/products/android-app://com.lazada.android/lazada/my/d/?p=3466145927_MY&utm_campaign=https%3A%2F%2Fh5.lazada.com.my%2Fproducts%2Fkarya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927-s18904253764.html&utm_source=google_app_indexing&utm_from=pdp	C:/Dato'%20Ustaz%20kazim%20elias/archive/h5.lazada.com.my/products/android-app_/com.lazada.android/lazada/my/d/index32e1.html	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:19	6433/6433	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Jul%202024%2018:54:19%20GMT	http://g.lazcdn.com/g/lzdfe/pdp-platform/0.1.23/pc.css	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/lzdfe/pdp-platform/0.1.23/pc.css	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:20	61019/61019	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Jul%202024%2018:54:18%20GMT	http://g.lazcdn.com/g/woodpeckerx/jssdk??wpkReporter.js,plugins/flow.js,plugins/interface.js,plugins/blank.js	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/woodpeckerx/jssdk5ed1	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:25	136905/136905	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Jul%202024%2018:54:23%20GMT	http://g.lazcdn.com/g/lzdfe/pdp-modules/1.5.5/pc-mod.css	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/lzdfe/pdp-modules/1.5.5/pc-mod.css	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:25	79025/79025	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Jul%202024%2018:54:21%20GMT	http://g.lazcdn.com/g/lzdfe/pdp-platform/0.1.23/pc.js	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/lzdfe/pdp-platform/0.1.23/pc.js	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:25	125158/125158	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Jul%202024%2018:54:21%20GMT	http://g.lazcdn.com/g/??code/npm/@ali/lzd-h5-utils-qs/2.0.1/index.js,code/npm/@ali/lzd-h5-utils-cookie/2.1.0/index.js,code/npm/@ali/lzd-h5-utils-sites/2.1.0/index.js,code/npm/@ali/lzd-h5-utils-env/2.2.0/index.js,code/npm/@ali/lzd-h5-utils-logger/2.2.0/index.js,code/npm/@ali/lzd-h5-utils-jsonp/2.1.0/index.js,code/npm/@ali/lzd-h5-utils-mtop/2.2.2/index.js,code/npm/@ali/lzd-h5-utils-icon/1.0.12/index.js,lzd/assets/1.1.18/require/2.3.6/require.js	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/indexeb98.html	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:28	17217/17217	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Jul%202024%2018:54:27%20GMT	http://g.lazcdn.com/g/alilog/mlog/aplus_int.js	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/alilog/mlog/aplus_int.js	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:32	41828/41828	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Jul%202024%2018:54:30%20GMT	http://g.lazcdn.com/g/retcode/cloud-sdk/bl.js	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/retcode/cloud-sdk/bl.js	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:34	4360/4360	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Jul%202024%2018:54:34%20GMT	http://g.lazcdn.com/g/lzd/assets/1.1.37/web-vitals/2.1.0/index.js	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/lzd/assets/1.1.37/web-vitals/2.1.0/index.js	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:34	221174/221174	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Jul%202024%2018:54:27%20GMT	http://aeis.alicdn.com/sd/ncpc/nc.js?t=18507	C:/Dato'%20Ustaz%20kazim%20elias/archive/aeis.alicdn.com/sd/ncpc/ncf23b.js	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:37	58/58	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Jul%202024%2018:54:36%20GMT	http://g.lazcdn.com/g/psolution/lzd-head-foot/1.0.50/css/main.css	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/psolution/lzd-head-foot/1.0.50/css/main.css	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:38	412212/412212	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Jul%202024%2018:54:36%20GMT	http://g.lazcdn.com/g/??lzd/assets/0.0.7/dpl-buyeruikit/2.0.1/next-noreset-1.css,lzd/assets/0.0.7/dpl-buyeruikit/2.0.1/next-noreset-2.css,lazada/lazada-product-detail/1.7.4/index/index.css	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/index389f.html	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:54:39	58377/58377	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Jul%202024%2018:54:39%20GMT	http://g.lazcdn.com/g/psolution/lzd-head-foot/1.0.50/css/p_index-index.css	C:/Dato'%20Ustaz%20kazim%20elias/archive/g.lazcdn.com/g/psolution/lzd-head-foot/1.0.50/css/p_index-index.css	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
