date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:24	37269/37269	---M-Z	200	added ('OK')	text/html	etag:W/%229195-/vRfq0hBeqxz1PFpDcMUIevcIso%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html	(from )
02:35:26	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2018:35:27%20GMT	https://malay.wiki/robots.txt		(from )
02:35:26	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2018:35:27%20GMT	https://malay.wiki/apple-touch-icon.png	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/apple-touch-icon.png	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:27	156/156	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2018:35:28%20GMT	https://malay.wiki/favicon-32x32.png	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/favicon-32x32.png	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:27	156/156	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2018:35:28%20GMT	https://malay.wiki/favicon-16x16.png	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/favicon-16x16.png	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:28	193475/193475	---M--	200	added ('OK')	text/javascript	etag:7630315336664623574	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Dato'%20Ustaz%20kazim%20elias/duke/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:28	42039/42039	---M-Z	200	added ('OK')	text/html	etag:W/%22a437-mppdQz2fyxbduI4DfBcfIKhKotQ%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Laman_Utama.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Laman_Utama.html	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:28	37157/37157	---M-Z	200	added ('OK')	text/html	etag:W/%229125-dEfk4YC8G1YxaPZb2cGdNsAI90k%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Filemografi.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Filemografi.html	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:29	36831/36831	---M-Z	200	added ('OK')	text/html	etag:W/%228fdf-iKREUfkdJAG4VwIeCJgWEU6ZVUw%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Anugerah.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Anugerah.html	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:29	37391/37391	---M-Z	200	added ('OK')	text/html	etag:W/%22920f-gA7O3MLBDODcEN2YA4FAoOHS7JI%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Pautan%20luar.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Pautan%20luar.html	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:30	38300/38300	---M-Z	200	added ('OK')	text/html	etag:W/%22959c-fEgp4Lo1ANpUR0tY4LNctLaflbY%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Kerjaya.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Kerjaya.html	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:30	37006/37006	---M-Z	200	added ('OK')	text/html	etag:W/%22908e-yTy5Pq7Q6SCDzecm/DWHCC9Z6As%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Rujukan.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Rujukan.html	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:31	37633/37633	---M-Z	200	added ('OK')	text/html	etag:W/%229301-Ke/10V7BSsXn9vhC9ktfbRcfszo%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Pendidikan.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Pendidikan.html	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:31	39083/39083	---M-Z	200	added ('OK')	text/html	etag:W/%2298ab-g7b4GfMv7F7bgbsDFp6pK+hlwzk%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Pusat%20Pendidikan%20Al%20Barakah.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Pusat%20Pendidikan%20Al%20Barakah.html	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
02:35:32	42116/42116	---M-Z	200	added ('OK')	text/html	etag:W/%22a484-qHZEQO4PDHDzAxscskqknrpR+ho%22	https://malay.wiki/content/Mohammad%20Kazim%20Elias/Videografi.html	C:/Dato'%20Ustaz%20kazim%20elias/duke/malay.wiki/content/Mohammad%20Kazim%20Elias/Videografi.html	(from https://malay.wiki/content/Mohammad%20Kazim%20Elias/Latar%20belakang.html)
