date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:50	57817/57817	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jul%202024%2006:41:45%20GMT	https://www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim	C:/Dato'%20Ustaz%20kazim%20elias/duke/www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim.html	(from )
14:42:51	24/24	---M--	200	added ('OK')	text/plain	etag:%225da7fadd-18%22	https://www.hmetro.com.my/robots.txt		(from )
14:42:59	182661/182661	---MC-	200	added ('OK')	application/javascript	date:Thu,%2004%20Jul%202024%2006:00:00%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-NQJ4GQK	C:/Dato'%20Ustaz%20kazim%20elias/duke/www.googleoptimize.com/optimize88df.js	(from https://www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim)
14:42:59	34950/34950	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2004%20Jul%202024%2006:42:58%20GMT	https://www.hmetro.com.my/rap/2024/05/1093134/https//www.googletagservices.com	C:/Dato'%20Ustaz%20kazim%20elias/duke/www.hmetro.com.my/rap/2024/05/1093134/https/www.googletagservices.com	(from https://www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim)
14:43:00	34949/34949	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2004%20Jul%202024%2006:42:59%20GMT	https://www.hmetro.com.my/rap/2024/05/1093134/https//www.googletagmanager.com	C:/Dato'%20Ustaz%20kazim%20elias/duke/www.hmetro.com.my/rap/2024/05/1093134/https/www.googletagmanager.com	(from https://www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim)
14:43:01	94108/94108	---MCZ	200	added ('OK')	text/css	etag:W/%220e735ddc863af455893937f6c53a4344%22	https://assets.hmetro.com.my/assets/css/libraries.css?id=7979572225756f8aee4c	C:/Dato'%20Ustaz%20kazim%20elias/duke/assets.hmetro.com.my/assets/css/libraries13e7.css	(from https://www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim)
14:43:03	163898/163898	---MCZ	200	added ('OK')	text/css	etag:W/%22e376b753c5b2f5388b00a0370cb0740f%22	https://assets.hmetro.com.my/assets/css/desktop/app.css?id=e376b753c5b2f5388b00	C:/Dato'%20Ustaz%20kazim%20elias/duke/assets.hmetro.com.my/assets/css/desktop/app21ea.css	(from https://www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim)
14:43:04	2740/2740	---M--	200	added ('OK')	image/png	etag:%22cefa3cdb07f7e95896ee7fe3beb78757%22	https://assets.hmetro.com.my/assets/favicons/apple-icon-57x57.png?id=3307e11209b3e645dcdb	C:/Dato'%20Ustaz%20kazim%20elias/duke/assets.hmetro.com.my/assets/favicons/apple-icon-57x577cb3.png	(from https://www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim)
14:43:05	2930/2930	---M--	200	added ('OK')	image/png	etag:%228db9522e995badeff0c97608ef5d1309%22	https://assets.hmetro.com.my/assets/favicons/apple-icon-60x60.png?id=8f0bf8066680306fa4d1	C:/Dato'%20Ustaz%20kazim%20elias/duke/assets.hmetro.com.my/assets/favicons/apple-icon-60x60f74d.png	(from https://www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim)
14:43:06	3612/3612	---M--	200	added ('OK')	image/png	etag:%228260bb4d6754a993ee75d59314ee5918%22	https://assets.hmetro.com.my/assets/favicons/apple-icon-72x72.png?id=82eac34b637d20abbd1a	C:/Dato'%20Ustaz%20kazim%20elias/duke/assets.hmetro.com.my/assets/favicons/apple-icon-72x72cfb9.png	(from https://www.hmetro.com.my/rap/2024/05/1093134/saya-disihir-berpunca-daripada-percakapan-sendiri-ustaz-kazim)
